x = 49 | y = 36 | w = 86 | h = 88
x = 45 | y = 55 | w = 74 | h = 98
x = 70 | y = 57 | w = 86 | h = 88
x = 70 | y = 50 | w = 98 | h = 90
x = 54 | y = 70 | w = 72 | h = 98
x = 58 | y = 65 | w = 80 | h = 74
x = 37 | y = 55 | w = 88 | h = 90
x = 63 | y = 46 | w = 92 | h = 82
x = 66 | y = 48 | w = 88 | h = 94
x = 47 | y = 38 | w = 92 | h = 98
x = 65 | y = 66 | w = 96 | h = 88
x = 55 | y = 64 | w = 86 | h = 82
x = 70 | y = 54 | w = 82 | h = 80
x = 49 | y = 47 | w = 76 | h = 96
x = 56 | y = 51 | w = 76 | h = 92
x = 66 | y = 40 | w = 96 | h = 86
x = 67 | y = 40 | w = 96 | h = 88
x = 56 | y = 41 | w = 96 | h = 88
x = 38 | y = 74 | w = 88 | h = 72
x = 40 | y = 44 | w = 80 | h = 90
x = 44 | y = 55 | w = 76 | h = 80
x = 72 | y = 69 | w = 90 | h = 80
x = 43 | y = 40 | w = 88 | h = 80
x = 46 | y = 46 | w = 88 | h = 96
x = 69 | y = 70 | w = 92 | h = 92
x = 66 | y = 73 | w = 84 | h = 80
x = 62 | y = 41 | w = 92 | h = 88
x = 35 | y = 59 | w = 94 | h = 82
x = 40 | y = 65 | w = 92 | h = 72
x = 55 | y = 57 | w = 84 | h = 84
x = 53 | y = 65 | w = 90 | h = 74
x = 60 | y = 67 | w = 82 | h = 86
x = 72 | y = 59 | w = 94 | h = 90
x = 74 | y = 45 | w = 72
x = 60 | y = 59 | w = 86
x = 68 | y = 44 | w = 94
x = 61 | y = 67 | w = 72
x = 38 | y = 54 | w = 88
x = 48 | y = 45 | w = 98
x = 45 | y = 55 | w = 90
x = 40 | y = 60 | w = 80
x = 63 | y = 44 | w = 80
x = 51 | y = 76 | w = 74
x = 42 | y = 42 | w = 82
x = 67 | y = 54 | w = 84
x = 70 | y = 35 | w = 90
x = 61 | y = 49 | w = 86
x = 37 | y = 69 | w = 86
x = 62 | y = 80 | w = 72
x = 33 | y = 32 | w = 96
x = 72 | y = 70 | w = 88
x = 64 | y = 64 | w = 92
x = 46 | y = 38 | w = 84
x = 64 | y = 65 | w = 82
x = 66 | y = 52 | w = 82
x = 42 | y = 51 | w = 84
x = 53 | y = 66 | w = 70
x = 43 | y = 66 | w = 80
x = 73 | y = 81 | w = 76
x = 45 | y = 39 | w = 90
x = 53 | y = 49 | w = 74
x = 63 | y = 39 | w = 94
x = 71 | y = 80 | w = 76
x = 43 | y = 62 | w = 88
x = 36 | y = 69 | w = 98
x = 40 | y = 49 | w = 88
x = 64 | y = 52 | w = 82
x = 72 | y = 69 | w = 86
x = 50 | y = 71 | w = 82
x = 64 | y = 80 | w = 76
x = 67 | y = 72 | w = 92
x = 41 | y = 46 | w = 96
x = 63 | y = 74 | w = 84
x = 53 | y = 57 | w = 74
x = 54 | y = 41 | w = 80
x = 46 | y = 70 | w = 96
x = 58 | y = 61 | w = 90
x = 44 | y = 59 | w = 90
x = 58 | y = 49 | w = 92
x = 54 | y = 59 | w = 80
x = 40 | y = 47 | w = 80
x = 67 | y = 45 | w = 98
x = 39 | y = 70 | w = 90
x = 41 | y = 55 | w = 88
x = 50 | y = 53 | w = 82
x = 39 | y = 51 | w = 98
x = 57 | y = 70 | w = 92
x = 54 | y = 72 | w = 94
